playlist_id,playlist_name,song_id,song_name,artist_id,artist_name,album_id,album_name,song_duration
634873712,【V.I.P】BIGBANG全部歌曲,543988742,SOBER -KR Ver.- [BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE-],126339,BIGBANG,37888128,BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE-,4:17
5012402389,齐秦 伍佰 刀郎 张宇 李宗盛.,77224,怀念战友,2517,刀郎,7588,披着羊皮的狼,5:05
5012402389,齐秦 伍佰 刀郎 张宇 李宗盛.,28167486,浪人情歌 (Live),8326,刘若英/伍佰/China Blue,2732694,快乐天堂 滚石30演唱会,4:11
5012402389,齐秦 伍佰 刀郎 张宇 李宗盛.,77113,手心里的温柔,2517,刀郎,7578,刀郎Ⅲ,4:56
5012402389,齐秦 伍佰 刀郎 张宇 李宗盛.,77448,情人,2517,刀郎,7607,2002年的第一场雪,3:16
5012402389,齐秦 伍佰 刀郎 张宇 李宗盛.,77148,爱是你我,2517,刀郎/王翰仪/云朵,7581,谢谢你,4:31
5012402389,齐秦 伍佰 刀郎 张宇 李宗盛.,77324,喀什噶尔胡杨,2517,刀郎,7597,喀什噶尔胡杨,6:15
5012402389,齐秦 伍佰 刀郎 张宇 李宗盛.,77211,披着羊皮的狼,2517,刀郎,7588,披着羊皮的狼,7:28
5012402389,齐秦 伍佰 刀郎 张宇 李宗盛.,77437,2002年的第一场雪,2517,刀郎,7607,2002年的第一场雪,4:14
5012402389,齐秦 伍佰 刀郎 张宇 李宗盛.,77469,冲动的惩罚,2517,刀郎,7607,2002年的第一场雪,7:54
5012402389,齐秦 伍佰 刀郎 张宇 李宗盛.,77098,西海情歌,2517,刀郎,7578,刀郎Ⅲ,5:43
2095978920,听林俊杰的神级live,486194136,不为谁而作的歌,3684,林俊杰,35663176,天生是优我 第十二期,4:29
2095978920,听林俊杰的神级live,436045240,Dreams (Theme of &quot;Chingay Parade Singapore 2015&quot;),3684,林俊杰,34922161,Dreams (Theme of &quot;Chingay Parade Singapore 2015&quot;),4:11
2095978920,听林俊杰的神级live,27927185,海底之心,3684,林俊杰,2696009,热门华语139,1:53
2095978920,听林俊杰的神级live,28828111,Without You,3684,林俊杰,2902144,热门华语230,5:25
2095978920,听林俊杰的神级live,29802239,她说(DEMO),3684,林俊杰,3076565,热门华语253,1:58
1630360,信乐团,387717,海阔天空,13283,信乐团,38408,海阔天空,4:36
1630360,信乐团,387635,假如,13283,信乐团,38400,挑信,4:24
1630360,信乐团,387603,死了都要爱,13283,信乐团,38400,挑信,4:29
1630360,信乐团,387479,情殇,13283,信乐团,38389,就是唯一,5:28
1630360,信乐团,387588,One Night In 北京,13283,信乐团,38400,挑信,4:39
1630360,信乐团,387758,天高地厚,13283,信乐团,38412,天高地厚,5:00
1630360,信乐团,387643,千年之恋,13283,信乐团/戴爱玲,38400,挑信,5:09
394963228,值得一听的蔡健雅,1334649916,舞步,7214,蔡健雅,74946019,我要给世界最悠长的湿吻,4:10
394963228,值得一听的蔡健雅,1334659051,离线地图,7214,蔡健雅,74946019,我要给世界最悠长的湿吻,4:02
394963228,值得一听的蔡健雅,1334659052,我要给世界最悠长的湿吻,7214,蔡健雅,74946019,我要给世界最悠长的湿吻,3:59
394963228,值得一听的蔡健雅,1334659053,半途,7214,蔡健雅,74946019,我要给世界最悠长的湿吻,4:19
394963228,值得一听的蔡健雅,1331584791,遗书,7214,蔡健雅,74946019,我要给世界最悠长的湿吻,4:15
394963228,值得一听的蔡健雅,1334649917,喘一口气,7214,蔡健雅,74946019,我要给世界最悠长的湿吻,4:51
394963228,值得一听的蔡健雅,1334659055,À La Folie,7214,蔡健雅,74946019,我要给世界最悠长的湿吻,3:12
394963228,值得一听的蔡健雅,1334649918,Déjà Vu,7214,蔡健雅,74946019,我要给世界最悠长的湿吻,3:32
394963228,值得一听的蔡健雅,1334659056,看不见的城市 - (电影《海角甜牙》主题推广曲),7214,蔡健雅,74946019,我要给世界最悠长的湿吻,4:42
394963228,值得一听的蔡健雅,1334649919,原谅,7214,蔡健雅,74946019,我要给世界最悠长的湿吻,3:37
2471050438,3Ho·王以太不闪火,1922633843,出头鸟,12236125,王以太,140792585,出头鸟,3:04
2471050438,3Ho·王以太不闪火,1904556134,天选,12236125,王以太/姜云升,137683477,天选,3:32
2471050438,3Ho·王以太不闪火,1877996649,危险派对,12236125,王以太/刘至佳,133202644,危险派对,3:00
2471050438,3Ho·王以太不闪火,1876179155,末 (Intro),12236125,王以太/艾热 AIR,132874562,幸存者的负罪感,4:09
2471050438,3Ho·王以太不闪火,1876182019,Pay Right Now (种瓜得瓜，种豆得豆),12236125,王以太/艾热 AIR,132874562,幸存者的负罪感,3:18
2471050438,3Ho·王以太不闪火,1876179154,醉,12236125,王以太/艾热 AIR,132874562,幸存者的负罪感,3:13
2471050438,3Ho·王以太不闪火,1876179150,无言以对,12236125,王以太/艾热 AIR,132874562,幸存者的负罪感,3:30
2471050438,3Ho·王以太不闪火,1876179148,现实的生活,12236125,王以太/艾热 AIR,132874562,幸存者的负罪感,3:54
2471050438,3Ho·王以太不闪火,1876182023,生而为人总错过,12236125,王以太/艾热 AIR,132874562,幸存者的负罪感,4:18
2471050438,3Ho·王以太不闪火,1876179152,头头是道,12236125,王以太/艾热 AIR,132874562,幸存者的负罪感,2:55
756696876,薛之谦的宝藏歌曲,1915297033,男二号,5781,薛之谦,139483611,男二号,4:47
756696876,薛之谦的宝藏歌曲,1374056689,陪你去流浪,5781,薛之谦,80003734,尘,4:34
